Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Resort Skiing,2025-03-26 10:33:58,false,"Cambridge Resort Skiing","8.83","773","02:05:14","105","149","2.4","--","--","9.2","31.9","9,034","9,010","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:02:55.4","6","--","--","--","01:52:05","02:05:14","1,598","3,661"
Cycling,2025-03-20 15:23:50,false,"Underhill Cycling","21.03","988","01:51:34","129","154","3.6","--","--","11.3","38.4","2,025","2,005","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:06:39.9","5","30","17","39","01:50:11","01:51:34","459","1,255"
Resort Skiing,2025-03-19 09:54:24,false,"Smugglers' Notch Ski","9.21","813","02:16:48","104","148","2.4","--","--","9.4","30.2","10,052","10,078","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:18:58","6","--","--","--","02:02:37","02:16:48","1,619","3,639"
Cycling,2025-03-18 14:46:49,false,"Underhill Cycling","15.80","853","01:51:06","120","147","3.0","--","--","8.5","31.6","1,552","1,554","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:08:49.4","4","29","17","37","01:44:56","01:51:06","655","1,259"
Cycling,2025-03-16 10:28:01,false,"Underhill Cycling","20.04","1,031","02:10:31","120","149","2.8","--","--","9.2","37.5","1,750","1,762","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:00:32.6","5","28","18","36","02:07:13","03:23:43","448","1,203"
Backcountry Skiing,2025-03-14 14:38:15,false,"Fayston Backcountry Skiing","3.59","974","01:38:07","132","157","3.5","--","--","2.2","21.2","1,523","1,520","--","--","--","--","--","--","--","0.0","--","--","--","6,112","No","01:38:07","1","--","--","--","01:13:22","02:54:05","1,531","3,054"
Cycling,2025-03-13 15:42:40,false,"Underhill Cycling","11.64","690","01:14:59","128","148","3.3","--","--","9.3","28.7","1,112","1,106","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:08:51.6","3","30","18","37","01:09:07","01:14:59","740","1,125"
Backcountry Skiing,2025-03-12 06:49:09,false,"Cambridge Backcountry Skiing","2.99","711","01:00:32","147","170","5.0","--","--","3.0","30.9","1,472","1,465","--","--","--","--","--","--","--","0.0","--","--","--","3,522","No","01:00:32","1","37","22","44","00:51:14","01:13:42","1,585","3,055"
Resort Skiing,2025-03-10 11:22:24,false,"Cambridge Resort Skiing","4.37","410","01:09:52","99","148","1.9","--","--","9.0","30.7","4,255","4,240","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:03:26.0","4","--","--","--","01:01:20","01:09:52","1,616","3,052"
Backcountry Skiing,2025-03-05 09:17:48,false,"Matane MRC Backcountry Skiing","7.71","3,128","05:45:45","135","158","5.0","--","--","1.3","11.6","3,695","3,707","--","--","--","--","--","--","--","0.0","--","--","--","14,626","No","05:45:45","1","--","--","--","03:27:06","06:28:50","1,360","2,350"
